City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,vila franca do campo,37.7167,-25.4333,77.41,69,22,7.25,PT,1629123514
285,chokurdakh,70.6333,147.9167,33.87,78,95,8.86,RU,1629123039
286,kirkuk,35.4681,44.3922,104.09,10,0,13.04,IQ,1629123599
287,price,39.5994,-110.8107,72.66,26,1,9.22,US,1629123599
288,fougeres,48.35,-1.2,67.86,51,9,17.02,FR,1629123599
289,talnakh,69.4865,88.3972,48.2,93,100,5.44,RU,1629123037
290,saquarema,-22.92,-42.5103,75.34,66,6,12.68,BR,1629123599
291,muncar,-8.4333,114.3333,75.0,92,16,1.81,ID,1629123600
292,eyl,7.9803,49.8164,84.02,61,36,29.57,SO,1629123600
293,waipawa,-41.4122,175.5153,55.02,73,88,19.55,NZ,1629123416
294,maltahohe,-24.8333,16.9833,80.92,14,40,25.95,NA,1629123601
295,puerto escondido,15.85,-97.0667,76.03,83,90,0.0,MX,1629123601
296,liverpool,53.4106,-2.9779,64.85,78,75,7.0,GB,1629123561
297,mmabatho,-25.85,25.6333,73.36,33,0,11.5,ZA,1629123601
298,chuy,-33.6971,-53.4616,59.65,77,6,4.74,UY,1629123602
299,agirish,61.9247,63.0231,73.15,46,97,7.11,RU,1629123606
300,te anau,-45.4167,167.7167,40.05,97,100,4.72,NZ,1629123606
301,feni,23.0186,91.41,77.97,92,100,5.77,BD,1629123607
302,cotonou,6.3654,2.4183,84.18,70,40,17.27,BJ,1629123607
303,mattru,7.6244,-11.8332,78.51,86,91,6.49,SL,1629123607
304,madrid,40.4165,-3.7026,99.66,15,0,1.99,ES,1629123469
305,swindon,51.558,-1.7812,67.78,56,75,5.01,GB,1629123504
306,trindade,-16.6494,-49.4889,87.55,19,64,6.78,BR,1629123608
307,aksehir,38.3575,31.4164,82.63,23,0,7.4,TR,1629123608
308,khasan,42.4308,130.6434,66.56,89,82,4.97,RU,1629123609
309,crateus,-5.1783,-40.6775,89.19,33,6,9.42,BR,1629123609
310,yoichi,43.2039,140.7703,62.98,83,1,3.85,JP,1629123609
311,kashi,39.4547,75.9797,79.81,22,0,6.71,CN,1629123610
312,sao filipe,14.8961,-24.4956,80.55,81,86,10.04,CV,1629123444
313,eureka,40.8021,-124.1637,62.67,95,72,1.99,US,1629123098
314,chipinge,-20.1883,32.6236,65.77,45,18,9.6,ZW,1629123610
315,la joya,18.6667,-99.4667,71.11,92,77,0.38,MX,1629123611
316,ajdabiya,30.7554,20.2263,86.77,41,0,18.7,LY,1629123611
317,pocola,35.2312,-94.478,79.18,73,1,5.75,US,1629123611
318,funadhoo,6.15,73.2667,82.58,75,100,15.21,MV,1629123612
319,acapulco,16.8634,-99.8901,76.82,100,90,2.3,MX,1629123448
320,shingu,33.7333,135.9833,78.91,95,100,4.27,JP,1629123458
321,labuhan,-6.8844,112.2051,80.29,76,97,8.9,ID,1629123432
322,danville,36.586,-79.395,76.51,96,90,0.0,US,1629123612
323,jaspur,29.2833,78.8167,87.24,61,1,4.05,IN,1629123612
324,tambo,-14.8,-73.9167,43.25,23,26,2.17,PE,1629123613
325,tynda,55.1667,124.7167,60.3,80,3,4.14,RU,1629123613
326,sawakin,19.1059,37.3321,100.92,44,46,11.41,SD,1629123614
327,tawau,4.2498,117.8871,77.13,79,38,4.09,MY,1629123615
328,mehamn,71.0357,27.8492,48.38,71,100,13.35,NO,1629123615
329,mocuba,-16.8392,36.9856,74.64,56,100,6.44,MZ,1629123615
330,rafai,4.95,23.9167,85.62,54,90,3.47,CF,1629123615
331,bahir dar,11.5936,37.3908,69.64,76,91,4.54,ET,1629123616
332,baiyin,36.5583,104.2081,72.48,66,0,13.6,CN,1629123616
333,ponta delgada,37.7333,-25.6667,77.72,78,20,11.5,PT,1629123120
334,siguiri,11.6667,-9.5,84.65,65,87,2.73,GN,1629123616
335,mangrol,21.1167,70.1167,81.39,77,58,8.3,IN,1629123617
336,ambon,-3.6954,128.1814,79.25,85,78,9.73,ID,1629123617
337,honghu,29.8206,113.4621,76.26,88,100,2.01,CN,1629123617
338,buraydah,26.326,43.975,108.05,8,2,7.09,SA,1629123617
339,gueret,46.1667,1.8667,65.25,72,100,6.55,FR,1629123618
340,pacific grove,36.6177,-121.9166,63.25,96,90,3.0,US,1629123618
341,korem,12.5058,39.5228,71.02,46,14,9.51,ET,1629123618
342,kushmurun,52.4503,64.6311,85.64,25,31,6.87,KZ,1629123619
343,sucre,-19.0333,-65.2627,61.5,18,16,1.77,BO,1629123529
344,novikovo,51.1537,37.8879,89.37,20,4,4.14,RU,1629123619
345,wanning,18.8003,110.3967,81.79,88,33,8.01,CN,1629123619
346,fort nelson,58.8053,-122.7002,51.39,93,90,10.36,CA,1629123461
347,fukue,32.6881,128.8419,78.69,89,100,13.22,JP,1629123620
348,atar,20.5169,-13.0499,106.57,17,43,10.78,MR,1629123620
349,asau,46.4333,26.4,87.96,38,65,2.51,RO,1629123620
350,thinadhoo,0.5333,72.9333,83.21,72,100,12.73,MV,1629123621
351,xinzhou,38.4092,112.7333,70.34,74,100,2.26,CN,1629123621
352,yei,4.095,30.6779,83.37,56,31,3.58,SS,1629123621
353,chapais,49.7834,-74.8492,70.59,55,28,12.39,CA,1629123081
354,sampang,-7.1872,113.2394,82.35,72,87,8.55,ID,1629123622
355,yar-sale,66.8333,70.8333,64.35,69,100,11.32,RU,1629123622
356,pringsewu,-5.3582,104.9744,74.43,86,100,1.97,ID,1629123622
357,oranjestad,12.524,-70.027,85.95,74,40,17.27,AW,1629123539
358,anadyr,64.75,177.4833,34.3,86,0,4.47,RU,1629123623
359,krasnoarmeysk,51.0239,45.6969,77.09,60,100,17.85,RU,1629123623
360,vigrestad,58.5667,5.7,66.0,66,100,15.39,NO,1629123623
361,zarasai,55.7333,26.25,76.5,51,100,9.73,LT,1629123624
362,anshun,26.25,105.9333,66.49,98,37,6.64,CN,1629123624
363,luderitz,-26.6481,15.1594,60.73,59,56,14.2,NA,1629123158
364,tocopilla,-22.092,-70.1979,65.26,62,7,10.58,CL,1629123507
